source,source_url,fetched_at,page_sha256,model_year,title_prefix,trim_raw,engine_cc,official_price,market_price,effective_date,page_updated_label,row_type
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2026,"Fri, 25 Sep 2026 13:00:21 GMT",3c13676ee84e55d34614c2f570a7a24bf817f86b8eb0306d0771a6d38300de24,2026,,SHADOW,,"1,700,000","1,780,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2026,"Fri, 25 Sep 2026 13:00:21 GMT",3c13676ee84e55d34614c2f570a7a24bf817f86b8eb0306d0771a6d38300de24,2026,,BLAZE,,"1,850,000","2,060,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2026,"Fri, 25 Sep 2026 13:00:21 GMT",3c13676ee84e55d34614c2f570a7a24bf817f86b8eb0306d0771a6d38300de24,2026,,REDLINE,,"1,950,000","1,950,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2026,"Fri, 25 Sep 2026 13:00:21 GMT",3c13676ee84e55d34614c2f570a7a24bf817f86b8eb0306d0771a6d38300de24,2026,,REDLINE - N PACK,,"2,025,000","2,025,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2026,"Fri, 25 Sep 2026 13:00:21 GMT",3c13676ee84e55d34614c2f570a7a24bf817f86b8eb0306d0771a6d38300de24,2026,,NIGHT,,"2,100,000",Unavailable,,,
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2026,"Fri, 25 Sep 2026 13:00:21 GMT",3c13676ee84e55d34614c2f570a7a24bf817f86b8eb0306d0771a6d38300de24,2026,,BLACK DIAMOND,,"2,200,000",Unavailable,,,
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2026,"Fri, 25 Sep 2026 13:00:21 GMT",3c13676ee84e55d34614c2f570a7a24bf817f86b8eb0306d0771a6d38300de24,2026,,NLINE (AWD),,"2,300,000","2,600,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2027,"Fri, 25 Sep 2026 13:00:23 GMT",1f25355eb76cafae3d2212dd771d1305120d97a6217102c848ca15df8a5accf1,2027,,SHADOW,,"1,800,000","1,840,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2027,"Fri, 25 Sep 2026 13:00:23 GMT",1f25355eb76cafae3d2212dd771d1305120d97a6217102c848ca15df8a5accf1,2027,,BLAZE,,"1,950,000","1,980,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2027,"Fri, 25 Sep 2026 13:00:23 GMT",1f25355eb76cafae3d2212dd771d1305120d97a6217102c848ca15df8a5accf1,2027,,REDLINE,,"2,050,000","2,160,000",,,
