model_id,model_year,trim_key,source,price_type,change,prev_snapshot,prev_value,prev_status,latest_snapshot,latest_value,latest_status,delta_egp,series
m_000001,2025,gtline,hatla2ee,market,UNCHANGED,S4_2026-09-25,2274900,OK,S5_2026-09-25,2274900,OK,,S0_2026-09-10=2274900 S1_2026-09-25=2274900 S2_2026-09-25=2274900 S3_2026-09-25=2274900 S4_2026-09-25=2274900 S5_2026-09-25=2274900
m_000001,2025,highline,hatla2ee,market,UNCHANGED,S4_2026-09-25,2024900,OK,S5_2026-09-25,2024900,OK,,S0_2026-09-10=2024900 S1_2026-09-25=2024900 S2_2026-09-25=2024900 S3_2026-09-25=2024900 S4_2026-09-25=2024900 S5_2026-09-25=2024900
m_000001,2025,lx,hatla2ee,market,UNCHANGED,S4_2026-09-25,1799900,OK,S5_2026-09-25,1799900,OK,,S0_2026-09-10=1799900 S1_2026-09-25=1799900 S2_2026-09-25=1799900 S3_2026-09-25=1799900 S4_2026-09-25=1799900 S5_2026-09-25=1799900
m_000001,2025,topline,hatla2ee,market,UNCHANGED,S4_2026-09-25,2149900,OK,S5_2026-09-25,2149900,OK,,S0_2026-09-10=2149900 S1_2026-09-25=2149900 S2_2026-09-25=2149900 S3_2026-09-25=2149900 S4_2026-09-25=2149900 S5_2026-09-25=2149900
m_000001,2027,ex,hatla2ee,market,UNCHANGED_NON_NUMERIC,S4_2026-09-25,,NOT_PUBLISHED,S5_2026-09-25,,NOT_PUBLISHED,,S0_2026-09-10=None S1_2026-09-25=None S2_2026-09-25=None S3_2026-09-25=None S4_2026-09-25=None S5_2026-09-25=None
m_000001,2027,gtline,hatla2ee,market,UNCHANGED_NON_NUMERIC,S4_2026-09-25,,NOT_PUBLISHED,S5_2026-09-25,,NOT_PUBLISHED,,S0_2026-09-10=None S1_2026-09-25=None S2_2026-09-25=None S3_2026-09-25=None S4_2026-09-25=None S5_2026-09-25=None
m_000001,2027,highline,hatla2ee,market,UNCHANGED_NON_NUMERIC,S4_2026-09-25,,NOT_PUBLISHED,S5_2026-09-25,,NOT_PUBLISHED,,S0_2026-09-10=None S1_2026-09-25=None S2_2026-09-25=None S3_2026-09-25=None S4_2026-09-25=None S5_2026-09-25=None
m_000001,2027,lx,hatla2ee,market,UNCHANGED_NON_NUMERIC,S4_2026-09-25,,NOT_PUBLISHED,S5_2026-09-25,,NOT_PUBLISHED,,S0_2026-09-10=None S1_2026-09-25=None S2_2026-09-25=None S3_2026-09-25=None S4_2026-09-25=None S5_2026-09-25=None
m_000001,2027,premium,hatla2ee,market,UNCHANGED_NON_NUMERIC,S4_2026-09-25,,NOT_PUBLISHED,S5_2026-09-25,,NOT_PUBLISHED,,S0_2026-09-10=None S1_2026-09-25=None S2_2026-09-25=None S3_2026-09-25=None S4_2026-09-25=None S5_2026-09-25=None
m_000001,2025,ex,hatla2ee,official,UNCHANGED,S4_2026-09-25,1919900,OK,S5_2026-09-25,1919900,OK,,S0_2026-09-10=1919900 S1_2026-09-25=1919900 S2_2026-09-25=1919900 S3_2026-09-25=1919900 S4_2026-09-25=1919900 S5_2026-09-25=1919900
