model_id,model_year,trim_key,source,price_type,change,s0_value,s0_status,s1_value,s1_status,delta_egp
m_000006,2027,nconnectaplus,contactcars,market,CHANGED,1800000,OK,1760000,OK,-40000
m_000006,2027,nconnectaplus2t,contactcars,market,CHANGED,1780000,OK,1800000,OK,20000
m_000006,2027,ndesignepwr,contactcars,market,UNCHANGED_NON_NUMERIC,,NOT_AVAILABLE,,NOT_AVAILABLE,
m_000006,2027,tekna2t,contactcars,market,UNCHANGED,1888000,OK,1888000,OK,
m_000006,2027,teknaplus4wd,contactcars,market,UNCHANGED_NON_NUMERIC,,NOT_AVAILABLE,,NOT_AVAILABLE,
m_000006,2027,nconnecta,contactcars,official,UNCHANGED,1555000,OK,1555000,OK,
m_000006,2027,nconnectaplus,contactcars,official,UNCHANGED,1757000,OK,1757000,OK,
m_000006,2027,nconnectaplus2t,contactcars,official,UNCHANGED,1777000,OK,1777000,OK,
m_000006,2027,ndesignepwr,contactcars,official,UNCHANGED,1999000,OK,1999000,OK,
m_000006,2027,tekna2t,contactcars,official,UNCHANGED,1888000,OK,1888000,OK,
m_000006,2027,teknaplus4wd,contactcars,official,UNCHANGED,2068000,OK,2068000,OK,
m_000006,,epower,egycar,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000006,,nconnecta,egycar,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000006,,nconnectaplus,egycar,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000006,,tekna,egycar,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000006,,teknaplus4wd,egycar,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000006,,epower,egycar,official,UNCHANGED,2000000,OK,2000000,OK,
m_000006,,nconnecta,egycar,official,UNCHANGED,1555000,OK,1555000,OK,
m_000006,,nconnectaplus,egycar,official,UNCHANGED,1757000,OK,1757000,OK,
m_000006,,tekna,egycar,official,UNCHANGED,1868000,OK,1868000,OK,
m_000006,,teknaplus4wd,egycar,official,UNCHANGED,2048000,OK,2048000,OK,
m_000007,2024,othertrims,contactcars,market,UNCHANGED,1660000,OK,1660000,OK,
m_000007,2024,tlplus,contactcars,market,UNCHANGED,1800000,OK,1800000,OK,
m_000007,2024,turbohl,contactcars,market,UNCHANGED,1700000,OK,1700000,OK,
m_000007,2024,turboxtl,contactcars,market,UNCHANGED,1600000,OK,1600000,OK,
m_000007,2025,highlineplus,contactcars,market,UNCHANGED,2000000,OK,2000000,OK,
m_000007,2025,tlplus,contactcars,market,UNCHANGED,1860000,OK,1860000,OK,
m_000007,2025,topline,contactcars,market,UNCHANGED,2060000,OK,2060000,OK,
m_000007,2025,toplineplus,contactcars,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000007,2026,highlineplus,contactcars,market,UNCHANGED,1860000,OK,1860000,OK,
m_000007,2026,topline,contactcars,market,CHANGED,2060000,OK,2100000,OK,40000
m_000007,2026,toplineplus,contactcars,market,UNCHANGED,2100000,OK,2100000,OK,
