row_fingerprint,master_line,source,brand_raw,model_raw,trim_raw,model_year_raw,brand_id,model_id,method,trim_key,is_summary_row
2eb9c8b59f2e,75,ContactCars,Volkswagen,T-Roc,R-line,2026,volkswagen,volkswagen/t-roc,exact_normalized,rline,no
715081e92ff1,76,ContactCars,Volkswagen,Tiguan,R-Line,2026,volkswagen,volkswagen/tiguan,exact_normalized,rline,no
7386f06470c1,77,ContactCars,Volkswagen,Tayron,R-Line,2026,volkswagen,volkswagen/tayron,exact_normalized,rline,no
23e8c299a0a6,78,ContactCars,Volkswagen,Touareg,R-Line,2025,volkswagen,volkswagen/touareg,exact_normalized,rline,no
44380e06a277,79,ContactCars(classified),Volkswagen,ID.4 Crozz,Pro,2025,volkswagen,volkswagen/id-4-crozz,exact_normalized,pro,no
9dab5724af03,80,ContactCars(classified),Volkswagen,ID.4,Unspecified,2025,volkswagen,volkswagen/id-4,exact_normalized,unspecified,no
2ac3bddc797f,81,ContactCars(classified),Volkswagen,ID.6 Crozz,A/T ID6,2022,volkswagen,volkswagen/id-6-crozz,exact_normalized,atid6,no
53ea0ce05711,82,ContactCars(classified),Volkswagen,id7,Unspecified,2024,volkswagen,volkswagen/id7,exact_normalized,unspecified,no
535143216215,83,ContactCars(classified),Volkswagen,ID-ERA 9X,Premium,2026,volkswagen,volkswagen/id-era-9x,exact_normalized,premium,no
8cdbe66779c0,84,ContactCars,Changan,EADO,Elite,2026,changan,changan/eado,exact_normalized,elite,no
fbc135e118ae,85,ContactCars,Changan,EADO,Flagship,2026,changan,changan/eado,exact_normalized,flagship,no
964fcb5e275b,86,ContactCars,Changan,CS35 PLUS,ELITE,2026,changan,changan/cs35-plus,exact_normalized,elite,no
ef95d66bccc2,87,ContactCars,Changan,CS35 PLUS,PREMIUM,2026,changan,changan/cs35-plus,exact_normalized,premium,no
ba7773169c1f,88,ContactCars,Changan,CS35 PLUS,FLAGSHIP,2026,changan,changan/cs35-plus,exact_normalized,flagship,no
83186eae691c,89,ContactCars,Changan,Eado Plus,Elite,2026,changan,changan/eado-plus,exact_normalized,elite,no
4bad7aa41e3d,90,ContactCars,Changan,Eado Plus,Premium,2026,changan,changan/eado-plus,exact_normalized,premium,no
